日期,品項,數量,金額
2025/05/22,紅燒牛肉麵 (單點),14,2240
2025/05/22,紅燒牛筋牛肉麵 (單點),4,900
2025/05/22,紅燒牛肚牛肉麵 (單點),1,220
2025/05/22,川辣牛肉麵 (單點),1,170
2025/05/22,川辣牛筋牛肉麵 (單點),2,460
2025/05/22,番茄牛肉麵 (單點),3,510
2025/05/22,牛肉麵類共計,25,4500
2025/05/22,沙茶牛肉乾拌麵 (單點),2,300
2025/05/22,蒜泥白肉乾拌麵 (單點),4,520
2025/05/22,沙茶豬肉乾拌麵 (單點),1,130
2025/05/22,拌麵類共計,7,950
2025/05/22,蒜泥白肉,1,130
2025/05/22,秘製滷牛肚,1,100
2025/05/22,手作類共計,2,230
2025/05/22,涼拌小黃瓜,2,70
2025/05/22,燙青菜,2,90
2025/05/22,小碟類共計,4,160
2025/05/22,牛肉湯 (含肉),1,130
2025/05/22,湯品類共計,1,130
2025/05/22,可爾必思,1,20
2025/05/22,可口可樂,2,40
2025/05/22,飲料類共計,3,60
2025/05/22,學生加麵,10,0
2025/05/22,加麵,1,20
2025/05/22,加點類共計,11,20
2025/05/22,總計,53,6030 
