日期,品項,數量,金額
2025/05/02,紅燒牛肉麵 (單點),30,4820
2025/05/02,紅燒牛筋牛肉麵 (單點),6,1320
2025/05/02,紅燒牛肚牛肉麵 (單點),3,660
2025/05/02,川辣牛肉麵 (單點),3,510
2025/05/02,番茄牛肉麵 (單點),10,1720
2025/05/02,番茄牛筋牛肉麵 (單點),7,1610
2025/05/02,番茄牛肚牛肉麵 (單點),1,230
2025/05/02,牛肉麵類共計,60,10870
2025/05/02,沙茶牛肉乾拌麵 (單點),3,450
2025/05/02,蒜泥白肉乾麵 (單點),5,650
2025/05/02,麻醬乾麵 (單點),1,70
2025/05/02,沙茶豬肉乾麵 (單點),4,520
2025/05/02,拌麵類共計,13,1690
2025/05/02,牛肉牛肚拼盤,2,320
2025/05/02,手作類共計,2,320
2025/05/02,涼拌小黃瓜,6,210
2025/05/02,涼拌乾絲,2,70
2025/05/02,桂花豆乾,4,140
2025/05/02,皮蛋豆腐,1,45
2025/05/02,燙青菜,2,90
2025/05/02,小碟類共計,15,555
2025/05/02,牛肉湯 (含肉),2,260
2025/05/02,牛肉湯 (無肉),2,160
2025/05/02,湯品類共計,4,420
2025/05/02,可口可樂,1,20
2025/05/02,飲料類共計,1,20
2025/05/02,五星燙青菜,4,0
2025/05/02,贈品類共計,4,0
2025/05/02,加麵,4,80
2025/05/02,學生加麵,9,0
2025/05/02,加點類共計,13,80
2025/05/02,總計,99,13875
