日期,品項,數量,金額
2025/03/11,紅燒牛肉麵(單點),38,6130
2025/03/11,紅燒牛筋牛肉麵(單點),10,2200
2025/03/11,紅燒牛肚牛肉麵(單點),1,220
2025/03/11,紅燒三寶(單點),3,840
2025/03/11,川辣牛肉麵(單點),3,480
2025/03/11,川辣牛筋牛肉麵(單點),3,660
2025/03/11,川辣牛肚牛肉麵(單點),1,220
2025/03/11,蕃茄牛肉麵(單點),11,1760
2025/03/11,蕃茄牛筋牛肉麵(單點),5,1120
2025/03/11,蕃茄牛肚牛肉麵(單點),1,220
2025/03/11,牛肉麵類共計,76,13850

2025/03/11,沙茶牛肉乾拌麵(單點),2,300
2025/03/11,蒜泥白肉乾麵(單點),2,260
2025/03/11,麻醬乾麵(單點),4,280
2025/03/11,肉燥乾麵(單點),3,210
2025/03/11,拌麵類共計,11,1050

2025/03/11,豬耳朵,1,45
2025/03/11,手作類共計,1,45

2025/03/11,涼拌小黃瓜,2,70
2025/03/11,涼拌乾絲,2,70
2025/03/11,桂花豆乾,7,245
2025/03/11,海帶絲,1,35
2025/03/11,燙青菜,5,225
2025/03/11,小碟類共計,17,645

2025/03/11,牛肉湯(含肉),1,130
2025/03/11,湯品類共計,1,130

2025/03/11,黑麥汁,1,40
2025/03/11,綠茶,1,20
2025/03/11,飲料類共計,2,60

2025/03/11,學生加麵,24,0
2025/03/11,加滷蛋,2,30
2025/03/11,加麵,2,40
2025/03/11,加點類共計,28,70

2025/03/11,總計,108,15780
