日期,品項,數量,金額
2025/03/06,紅燒牛肉麵(單點),75,12000
2025/03/06,紅燒牛筋牛肉麵(單點),6,1320
2025/03/06,紅燒牛肚牛肉麵(單點),5,1100
2025/03/06,紅燒三寶(單點),3,840
2025/03/06,川辣牛肉麵(單點),15,2400
2025/03/06,川辣牛筋牛肉麵(單點),1,220
2025/03/06,川辣牛肚牛肉麵(單點),3,660
2025/03/06,蕃茄牛肉麵(單點),17,2720
2025/03/06,蕃茄牛筋牛肉麵(單點),1,220
2025/03/06,蕃茄牛肚牛肉麵(單點),1,220
2025/03/06,牛肉麵類共計,127,21170

2025/03/06,沙茶牛肉乾拌麵(單點),7,1050
2025/03/06,蒜泥白肉乾麵(單點),8,1040
2025/03/06,麻醬乾麵(單點),3,210
2025/03/06,肉燥乾麵(單點),1,70
2025/03/06,拌麵類共計,19,2370

2025/03/06,蒜泥白肉,1,130
2025/03/06,秘制滷牛肚,1,100
2025/03/06,豬耳朵,5,225
2025/03/06,牛肉牛肚拼盤,2,320
2025/03/06,手作類共計,9,775

2025/03/06,涼拌小黃瓜,6,210
2025/03/06,桂花豆乾,1,35
2025/03/06,皮蛋豆腐,7,315
2025/03/06,燙青菜,8,360
2025/03/06,小碟類共計,22,920

2025/03/06,牛肉湯(含肉),1,130
2025/03/06,牛肉湯(無肉),2,120
2025/03/06,湯品類共計,3,250

2025/03/06,可爾必思,1,20
2025/03/06,可口可樂,2,40
2025/03/06,飲料類共計,3,60

2025/03/06,學生加麵,40,0
2025/03/05,加點類共計,40,0

2025/03/06,總計,183,26075
