日期,品項,數量,金額
2025/05/10,紅燒牛肉麵 (單點),19,3040
2025/05/10,紅燒牛筋牛肉麵 (單點),0,0
2025/05/10,紅燒牛肚牛肉麵 (單點),4,880
2025/05/10,紅燒三寶麵 (單點),0,0
2025/05/10,川辣牛肉麵 (單點),1,170
2025/05/10,川辣牛肚牛肉麵 (單點),1,230
2025/05/10,番茄牛肉麵 (單點),7,1190
2025/05/10,番茄牛肚牛肉麵 (單點),1,230
2025/05/10,牛肉麵類共計,34,6030
2025/05/10,沙茶牛肉乾拌麵 (單點),1,150
2025/05/10,蒜泥白肉乾麵 (單點),0,0
2025/05/10,麻醬乾麵 (單點),1,70
2025/05/10,沙茶豬肉乾麵 (單點),1,130
2025/05/10,拌麵類共計,3,350
2025/05/10,豬耳朵,3,135
2025/05/10,手作類共計,5,365
2025/05/10,涼拌小黃瓜,4,140
2025/05/10,桂花豆乾,1,35
2025/05/10,皮蛋豆腐,2,90
2025/05/10,燙青菜,4,180
2025/05/10,小碟類共計,11,445
2025/05/10,牛肉湯 (無肉),0,0
2025/05/10,湯品類共計,0,0
2025/05/10,可口可樂,3,60
2025/05/10,黑麥汁,0,0
2025/05/10,飲料類共計,6,120
2025/05/10,五星燙青菜,1,0
2025/05/10,贈品類共計,2,0
2025/05/10,加滷蛋,0,0
2025/05/10,學生加麵,5,0
2025/05/10,加點類共計,5,0
2025/05/10,總計,57,6985 
