日期,品項,數量,金額
2025/03/13,紅燒牛肉麵(單點),31,4995
2025/03/13,紅燒牛筋牛肉麵(單點),7,1540
2025/03/13,紅燒牛肚牛肉麵(單點),1,220
2025/03/13,紅燒三寶(單點),5,1100
2025/03/13,川辣牛肉麵(單點),7,1120
2025/03/13,川辣牛筋牛肉麵(單點),2,440
2025/03/13,蕃茄牛肉麵(單點),23,3680
2025/03/13,蕃茄牛筋牛肉麵(單點),5,1100
2025/03/13,蕃茄牛肚牛肉麵(單點),1,220
2025/03/13,牛肉麵類共計,76,13095

2025/03/13,沙茶牛肉乾拌麵(單點),7,1050
2025/03/13,蒜泥白肉乾麵(單點),8,1060
2025/03/13,麻醬乾麵(單點),6,420
2025/03/13,肉燥乾麵(單點),5,370
2025/03/13,拌麵類共計,26,2900

2025/03/13,秘制滷牛肚,1,100
2025/03/13,牛肉牛肚拼盤,2,320
2025/03/13,手作類共計,3,420

2025/03/13,涼拌小黃瓜,2,70
2025/03/13,涼拌乾絲,4,140
2025/03/13,桂花豆乾,1,35
2025/03/13,海帶絲,2,70
2025/03/13,燙青菜,12,540
2025/03/13,小碟類共計,21,865

2025/03/13,牛肉湯(含肉),2,260
2025/03/13,牛肉湯(無肉),3,200
2025/03/13,湯品類共計,5,460

2025/03/13,可爾必思,1,20
2025/03/13,可口可樂,1,20
2025/03/13,黑麥汁,1,40
2025/03/13,飲料類共計,3,80

2025/03/13,學生加麵,18,0
2025/03/13,加麵,4,80
2025/03/13,加點類共計,22,80

2025/03/13,總計,134,17820
