日期,品項,數量,金額
2025/03/10,紅燒牛肉麵(單點),24,3840
2025/03/10,紅燒牛筋牛肉麵(單點),12,2640
2025/03/10,紅燒牛肚牛肉麵(單點),1,220
2025/03/10,紅燒三寶(單點),1,280
2025/03/10,川辣牛肉麵(單點),5,800
2025/03/10,川辣牛筋牛肉麵(單點),1,220
2025/03/10,蕃茄牛肉麵(單點),17,2720
2025/03/10,蕃茄牛筋牛肉麵(單點),2,440
2025/03/10,蕃茄牛肚牛肉麵(單點),1,220
2025/03/10,牛肉麵類共計,64,11380

2025/03/10,沙茶牛肉乾拌麵(單點),3,450
2025/03/10,蒜泥白肉乾麵(單點),7,910
2025/03/10,麻醬乾麵(單點),6,440
2025/03/10,肉燥乾麵(單點),2,140
2025/03/10,拌麵類共計,18,1940

2025/03/10,豬耳朵,3,135
2025/03/10,手作類共計,3,135

2025/03/10,涼拌小黃瓜,5,175
2025/03/10,涼拌乾絲,2,70
2025/03/10,桂花豆乾,6,210
2025/03/10,皮蛋豆腐,1,45
2025/03/10,海帶絲,1,35
2025/03/10,燙青菜,5,225
2025/03/10,小碟類共計,20,760

2025/03/10,可爾必思,1,20
2025/03/10,可口可樂,1,20
2025/03/10,飲料類共計,2,40

2025/03/10,學生加麵,11,0
2025/03/10,加麵,1,20
2025/03/10,加點類共計,12,20

2025/03/10,總計,107,14250
