日期,品項,數量,金額
2025/05/08,紅燒牛肉麵 (單點),12,1940
2025/05/08,紅燒牛筋牛肉麵 (單點),2,440
2025/05/08,紅燒三寶麵 (單點),2,560
2025/05/08,川辣牛肉麵 (單點),1,170
2025/05/08,川辣牛筋牛肉麵 (單點),1,230
2025/05/08,番茄牛肉麵 (單點),2,340
2025/05/08,番茄牛筋牛肉麵 (單點),3,690
2025/05/08,番茄三寶麵 (單點),1,290
2025/05/08,牛肉麵類共計,24,4660
2025/05/08,沙茶牛肉乾拌麵 (單點),6,900
2025/05/08,麻醬乾麵 (單點),3,230
2025/05/08,沙茶豬肉乾麵 (單點),1,130
2025/05/08,拌麵類共計,10,1260
2025/05/08,豬耳朵,1,45
2025/05/08,手作類共計,1,45
2025/05/08,涼拌小黃瓜,3,105
2025/05/08,涼拌乾絲,2,70
2025/05/08,桂花豆乾,1,35
2025/05/08,皮蛋豆腐,2,90
2025/05/08,燙青菜,5,225
2025/05/08,小碟類共計,13,525
2025/05/08,牛肉湯 (含肉),1,130
2025/05/08,湯品類共計,1,130
2025/05/08,可爾必思,1,20
2025/05/08,可口可樂,1,20
2025/05/08,飲料類共計,2,40
2025/05/08,0元滷蛋 (一顆),1,0
2025/05/08,五星燙青菜,2,0
2025/05/08,贈品類共計,3,0
2025/05/08,學生加麵,4,0
2025/05/08,加麵,2,40
2025/05/08,加點類共計,6,40
2025/05/08,總計,54,6660
