日期,品項,數量,金額
2025/05/03,紅燒牛肉麵 (單點),11,1760
2025/05/03,紅燒三寶麵 (單點),1,280
2025/05/03,川辣牛肉麵 (單點),2,340
2025/05/03,川辣牛筋牛肉麵 (單點),2,460
2025/05/03,番茄牛肉麵 (單點),9,1530
2025/05/03,番茄牛筋牛肉麵 (單點),1,230
2025/05/03,番茄牛肚牛肉麵 (單點),1,230
2025/05/03,牛肉麵類共計,27,4830
2025/05/03,沙茶牛肉乾拌麵 (單點),6,900
2025/05/03,蒜泥白肉乾麵 (單點),1,130
2025/05/03,拌麵類共計,7,1030
2025/05/03,豬耳朵,2,90
2025/05/03,牛肉牛肚拼盤,1,160
2025/05/03,手作類共計,3,250
2025/05/03,涼拌小黃瓜,4,140
2025/05/03,涼拌乾絲,2,70
2025/05/03,桂花豆乾,1,35
2025/05/03,皮蛋豆腐,3,135
2025/05/03,泡菜,2,80
2025/05/03,燙青菜,5,225
2025/05/03,小碟類共計,17,685
2025/05/03,牛肉湯 (無肉),1,60
2025/05/03,湯品類共計,1,60
2025/05/03,可口可樂,1,20
2025/05/03,飲料類共計,1,20
2025/05/03,0元滷蛋 (一顆),1,0
2025/05/03,五星燙青菜,3,0
2025/05/03,贈品類共計,4,0
2025/05/03,學生加麵,5,0
2025/05/03,加點類共計,5,0
2025/05/03,總計,60,6875
