日期,品項,數量,金額
2025/04/14,紅燒牛肉麵 (單點),16,2560
2025/04/14,紅燒牛筋牛肉麵 (單點),4,880
2025/04/14,紅燒牛肚牛肉麵 (單點),3,660
2025/04/14,紅燒三寶 (單點),2,560
2025/04/14,川辣牛肉麵 (單點),3,530
2025/04/14,川辣牛筋牛肉麵 (單點),2,460
2025/04/14,番茄牛肉麵 (單點),2,340
2025/04/14,牛肉麵類共計,32,5990

2025/04/14,沙茶牛肉乾拌麵 (單點),6,900
2025/04/14,蒜泥白肉乾麵 (單點),3,390
2025/04/14,麻醬乾麵 (單點),1,70
2025/04/14,沙茶豬肉乾麵 (單點),1,130
2025/04/14,拌麵類共計,11,1490

2025/04/14,秘製滷牛肚,1,100
2025/04/14,豬耳朵,2,90
2025/04/14,手作類共計,3,190

2025/04/14,涼拌小黃瓜,2,70
2025/04/14,涼拌乾絲,1,35
2025/04/14,桂花豆乾,2,70
2025/04/14,皮蛋豆腐,3,135
2025/04/14,海帶絲,2,70
2025/04/14,小碟類共計,10,380

2025/04/14,牛肉湯 (含肉),1,130
2025/04/14,湯品類共計,1,130

2025/04/14,0元滷蛋 (一顆),2,0
2025/04/14,五星燙青菜,4,0
2025/04/14,贈品類共計,6,0

2025/04/14,學生加麵,4,0
2025/04/14,加麵,1,20
2025/04/14,加點類共計,5,20

2025/04/14,總計,63,8180
