日期,品項,數量,金額
2025/02/28,紅燒牛肉麵(單點),20,3250
2025/02/28,紅燒牛筋牛肉麵(單點),4,880
2025/02/28,紅燒牛肚牛肉麵(套餐),1,205
2025/02/28,紅燒牛肚牛肉麵(單點),6,1320
2025/02/28,紅燒三寶麵(單點),1,280
2025/02/28,川辣牛肉麵(單點),7,1120
2025/02/28,川辣牛筋牛肉麵(單點),2,440
2025/02/28,川辣牛肚牛肉麵(套餐),1,205
2025/02/28,川辣三寶麵(單點),2,560
2025/02/28,蕃茄牛肉麵(套餐),4,580
2025/02/28,蕃茄牛肉麵(單點),9,1440
2025/02/28,蕃茄牛筋牛肉麵(單點),5,1100
2025/02/28,蕃茄牛肚牛肉麵(單點),1,220
2025/02/28,牛肉麵類共計,63,11600

2025/02/28,沙茶牛肉乾拌麵(套餐),1,135
2025/02/28,沙茶牛肉乾拌麵(單點),5,785
2025/02/28,蒜泥白肉乾麵(單點),2,260
2025/02/28,麻醬乾麵(套餐),1,55
2025/02/28,麻醬乾麵(單點),3,210
2025/02/28,肉燥乾麵(套餐),1,55
2025/02/28,肉燥乾麵(單點),1,70
2025/02/28,拌麵類共計,14,1570

2025/02/28,豬耳朵,2,90
2025/02/28,手作類共計,2,90

2025/02/28,涼拌小黃瓜,8,280
2025/02/28,涼拌乾絲,6,210
2025/02/28,桂花豆乾,1,35
2025/02/28,皮蛋豆腐,6,270
2025/02/28,海帶絲,1,35
2025/02/28,燙青菜,8,360
2025/02/28,小碟類共計,30,1190

2025/02/28,牛肉湯(含肉),1,130
2025/02/28,牛肉湯(無肉),3,180
2025/02/28,湯品類共計,4,310

2025/02/28,可爾必思,2,70
2025/02/28,可口可樂,1,40
2025/02/28,綠茶,2,70
2025/02/28,飲料類共計,5,180

2025/02/28,總計,118,14890
