日期,品項,數量,金額
2025/04/17,紅燒牛肉麵 (單點),27,4320
2025/04/17,紅燒牛筋牛肉麵 (單點),2,440
2025/04/17,紅燒牛肚牛肉麵 (單點),4,880
2025/04/17,紅燒三寶 (單點),1,280
2025/04/17,川辣牛肉麵 (單點),4,680
2025/04/17,番茄牛肉麵 (單點),2,340
2025/04/17,牛肉麵類共計,40,6940
2025/04/17,沙茶牛肉乾拌麵 (單點),4,635
2025/04/17,蒜泥白肉乾麵 (單點),4,520
2025/04/17,麻醬乾麵 (單點),3,210
2025/04/17,沙茶豬肉乾麵 (單點),1,130
2025/04/17,拌麵類共計,12,1495
2025/04/17,豬耳朵,2,90
2025/04/17,手作類共計,2,90
2025/04/17,涼拌小黃瓜,5,175
2025/04/17,涼拌乾絲,1,35
2025/04/17,桂花豆乾,2,70
2025/04/17,皮蛋豆腐,4,180
2025/04/17,燙青菜,2,90
2025/04/17,小碟類共計,14,550
2025/04/17,可口可樂,4,80
2025/04/17,飲料類共計,4,80
2025/04/17,五星燙青菜,5,0
2025/04/17,贈品類共計,5,0
2025/04/17,學生加麵,6,0
2025/04/17,加麵,1,20
2025/04/17,加滷蛋,1,15
2025/04/17,加點類共計,8,35
2025/04/17,總計,77,9155
