日期,品項,數量,金額
2025/02/19,紅燒牛肉麵(套餐),3,435
2025/02/19,紅燒牛肉麵(單點),30,4820
2025/02/19,紅燒牛筋牛肉麵(套餐),1,205
2025/02/19,紅燒牛筋牛肉麵(單點),16,3250
2025/02/19,川辣牛肉麵(單點),7,1120
2025/02/19,川辣牛筋牛肉麵(單點),5,1100
2025/02/19,蕃茄牛肉麵(套餐),3,435
2025/02/19,蕃茄牛肉麵(單點),10,3040
2025/02/19,蕃茄牛筋牛肉麵(單點),7,1555
2025/02/19,牛肉麵類共計,91,16230

2025/02/19,沙茶牛肉乾拌麵(套餐),1,155
2025/02/19,沙茶牛肉乾拌麵(單點),6,920
2025/02/19,蒜泥白肉乾麵(單點),3,390
2025/02/19,麻醬乾麵(單點),3,330
2025/02/19,拌麵類共計,13,1,795

2025/02/19,蒜泥白肉,3,390
2025/02/19,手作類共計,3,390

2025/02/19,涼拌小黃瓜,5,175
2025/02/19,涼拌乾絲,5,175
2025/02/19,皮蛋豆腐,4,180
2025/02/19,燙青菜,8,360
2025/02/19,小碟類共計,22,890

2025/02/19,牛肉湯(含肉),1,0
2025/02/19,牛肉湯(無肉),1,60
2025/02/19,湯品類共計,2,60

2025/02/19,可爾必思,1,0
2025/02/19,可爾必思,5,40
2025/02/19,黑麥汁,2,50
2025/02/19,飲料類共計,8,90

2025/02/19,學生加麵,31,0
2025/02/19,加麵,3,60
2025/02/19,加滷蛋,1,15
2025/02/19,加點類共計,35,75

2025/02/19,總計,139,19455
