日期,品項,數量,金額
2025/04/22,紅燒牛肉麵 (單點),19,3040
2025/04/22,紅燒牛筋牛肉麵 (單點),3,660
2025/04/22,紅燒牛肚牛肉麵 (單點),2,440
2025/04/22,紅燒三寶 (單點),2,560
2025/04/22,川辣牛肉麵 (單點),2,340
2025/04/22,川辣牛肚牛肉麵 (單點),1,230
2025/04/22,川辣三寶 (單點),1,290
2025/04/22,番茄牛肉麵 (單點),9,1530
2025/04/22,番茄牛筋牛肉麵 (單點),3,690
2025/04/22,番茄牛肚牛肉麵 (單點),3,690
2025/04/22,番茄三寶 (單點),1,290
2025/04/22,牛肉麵類共計,46,8760

2025/04/22,沙茶牛肉乾拌麵 (單點),5,750
2025/04/22,蒜泥白肉乾麵 (單點),2,260
2025/04/22,麻醬乾麵 (單點),2,140
2025/04/22,拌麵類共計,9,1150

2025/04/22,蒜泥白肉,1,130
2025/04/22,秘製滷牛肚,1,100
2025/04/22,豬耳朵,2,90
2025/04/22,手作類共計,4,320

2025/04/22,涼拌小黃瓜,4,140
2025/04/22,桂花豆乾,3,105
2025/04/22,海帶絲,2,70
2025/04/22,小碟類共計,9,315

2025/04/22,牛肉湯 (含肉),1,130
2025/04/22,牛肉湯 (無肉),1,80
2025/04/22,湯品類共計,2,210

2025/04/22,可口可樂,2,40
2025/04/22,飲料類共計,2,40

2025/04/22,五星燙青菜,3,0
2025/04/22,贈品類共計,3,0

2025/04/22,學生加麵,14,0
2025/04/22,加麵,1,20
2025/04/22,加點類共計,15,20

2025/04/22,總計,75,10795
