日期,品項,數量,金額
2025/04/21,紅燒牛肉麵 (單點),21,3380
2025/04/21,紅燒牛筋牛肉麵 (單點),3,680
2025/04/21,紅燒牛肚牛肉麵 (單點),1,220
2025/04/21,川辣牛肉麵 (單點),3,510
2025/04/21,川辣牛筋牛肉麵 (單點),1,230
2025/04/21,川辣牛肚牛肉麵 (單點),1,230
2025/04/21,番茄牛肉麵 (單點),8,1380
2025/04/21,番茄牛肚牛肉麵 (單點),1,230
2025/04/21,牛肉麵類共計,39,6840

2025/04/21,沙茶牛肉乾拌麵 (單點),3,450
2025/04/21,蒜泥白肉乾麵 (單點),1,130
2025/04/21,麻醬乾麵 (單點),2,140
2025/04/21,沙茶豬肉乾麵 (單點),1,130
2025/04/21,拌麵類共計,6,780

2025/04/21,豬耳朵,1,45
2025/04/21,手作類共計,1,45

2025/04/21,涼拌小黃瓜,3,105
2025/04/21,涼拌乾絲,4,140
2025/04/21,海帶絲,1,35
2025/04/21,燙青菜,1,45
2025/04/21,小碟類共計,9,325

2025/04/21,可爾必思,1,20
2025/04/21,可口可樂,2,40
2025/04/21,飲料類共計,3,60

2025/04/21,0元滷蛋 (一顆),2,0
2025/04/21,五星燙青菜,6,0
2025/04/21,贈品類共計,8,0

2025/04/21,學生加麵,9,0
2025/04/21,加麵,2,40
2025/04/21,加點類共計,11,40

2025/04/21,總計,66,8050
