日期,品項,數量,金額
2025/05/23,紅燒牛肉麵 (單點),19,3060
2025/05/23,紅燒牛筋牛肉麵 (單點),2,440
2025/05/23,川辣牛肉麵 (單點),5,870
2025/05/23,番茄牛肉麵 (單點),6,1065
2025/05/23,番茄牛筋牛肉麵 (單點),3,690
2025/05/23,牛肉麵類共計,35,6125
2025/05/23,沙茶牛肉乾拌麵 (單點),2,300
2025/05/23,沙茶豬肉乾拌麵 (單點),1,130
2025/05/23,拌麵類共計,3,430
2025/05/23,蒜泥白肉,1,130
2025/05/23,豬耳朵,1,45
2025/05/23,手作類共計,2,175
2025/05/23,涼拌小黃瓜,1,35
2025/05/23,泡菜,1,40
2025/05/23,燙青菜,2,90
2025/05/23,小碟類共計,4,165
2025/05/23,牛肉湯 (含肉),1,130
2025/05/23,湯品類共計,1,130
2025/05/23,可口可樂,1,20
2025/05/23,飲料類共計,1,20
2025/05/23,0元滷蛋(一顆),2,0
2025/05/23,五星燙青菜,1,0
2025/05/23,贈品類共計,3,0
2025/05/23,學生加麵,1,0
2025/05/23,A套餐,2,40
2025/05/23,B套餐,1,45
2025/05/23,加點類共計,4,85
2025/05/23,總計,53,7045 
