日期,品項,數量,金額
2025/04/11,紅燒牛肉麵 (單點),21,3380
2025/04/11,紅燒牛筋牛肉麵 (單點),4,880
2025/04/11,紅燒牛肚牛肉麵 (單點),1,220
2025/04/11,紅燒三寶 (單點),2,580
2025/04/11,川辣牛肉麵 (單點),5,820
2025/04/11,番茄牛肉麵 (單點),17,2750
2025/04/11,番茄牛筋牛肉麵 (單點),3,660
2025/04/11,番茄牛肚牛肉麵 (單點),1,220
2025/04/11,番茄三寶 (單點),1,280
2025/04/11,牛肉麵類共計,55,9790

2025/04/11,沙茶牛肉乾拌麵 (單點),6,900
2025/04/11,蒜泥白肉乾麵 (單點),4,520
2025/04/11,麻醬乾麵 (單點),6,420
2025/04/11,沙茶豬肉乾麵 (單點),2,140
2025/04/11,拌麵類共計,18,1980

2025/04/11,蒜泥白肉,1,130
2025/04/11,豬耳朵,2,90
2025/04/11,手作類共計,3,220

2025/04/11,涼拌小黃瓜,5,175
2025/04/11,涼拌乾絲,4,140
2025/04/11,海帶絲,2,70
2025/04/11,燙青菜,5,225
2025/04/11,小碟類共計,16,610

2025/04/11,牛肉湯 (無肉),1,60
2025/04/11,湯品類共計,1,60

2025/04/11,可爾必思,1,20
2025/04/11,可口可樂,1,20
2025/04/11,飲料類共計,2,40

2025/04/11,0元滷蛋 (一顆),1,0
2025/04/11,0元滷蛋 (滷蛋),2,0
2025/04/11,五星燙青菜,3,0
2025/04/11,五星燙青菜 (免費青菜),1,0
2025/04/11,贈品類共計,7,0

2025/04/10,學生加麵,9,0
2025/04/10,加麵,2,40
2025/04/10,加點類共計,10,20

2025/04/11,總計,102,12700
