日期,品項,數量,金額
2025/03/15,紅燒牛肉麵(單點),6,960
2025/03/15,紅燒牛筋牛肉麵(單點),4,940
2025/03/15,紅燒牛肚牛肉麵(單點),2,440
2025/03/15,紅燒三寶麵(單點),1,280
2025/03/15,川辣牛肉麵(單點),3,480
2025/03/15,川辣牛筋牛肉麵(單點),1,220
2025/03/15,川辣牛肚牛肉麵(單點),1,220
2025/03/15,蕃茄牛肉麵(單點),7,1120
2025/03/15,蕃茄牛筋牛肉麵(單點),1,220
2025/03/15,牛肉麵類共計,26,4880

2025/03/15,沙茶牛肉乾拌麵(單點),1,150
2025/03/15,蒜泥白肉乾麵(單點),1,130
2025/03/15,拌麵類共計,2,280

2025/03/15,豬耳朵,1,45
2025/03/15,手作類共計,1,45

2025/03/15,涼拌乾絲,2,70
2025/03/15,桂花豆乾,1,35
2025/03/15,皮蛋豆腐,1,45
2025/03/15,海帶絲,2,70
2025/03/15,燙青菜,3,135
2025/03/15,小碟類共計,9,355

2025/03/15,學生加麵,3,0
2025/03/15,加滷蛋,4,60
2025/03/15,加點類共計,17,75

2025/03/15,牛肉湯(含肉),1,130
2025/03/15,湯品類共計,1,130

2025/03/15,總計,39,5690
