日期,品項,數量,金額
2025/03/25,紅燒牛肉麵(單點),18,2880
2025/03/25,紅燒牛筋牛肉麵(單點),3,660
2025/03/25,川辣牛肉麵(單點),6,960
2025/03/25,川辣牛肚牛肉麵(單點),1,220
2025/03/25,川辣三寶麵(單點),1,280
2025/03/25,蕃茄牛肉麵(單點),12,1920
2025/03/25,蕃茄牛筋牛肉麵(單點),4,880
2025/03/25,蕃茄三寶麵(單點),1,280
2025/03/25,牛肉麵類共計,40,8080

2025/03/25,沙茶牛肉乾拌麵(單點),2,300
2025/03/25,蒜泥白肉乾麵(單點),2,260
2025/03/25,肉燥乾麵(單點),1,70
2025/03/25,拌麵類共計,5,630

2025/03/25,豬耳朵,2,90
2025/03/25,手作類共計,2,90

2025/03/25,涼拌小黃瓜,5,175
2025/03/25,涼拌乾絲,2,70
2025/03/25,皮蛋豆腐,2,90
2025/03/25,海帶絲,1,35
2025/03/25,燙青菜,1,45
2025/03/25,小碟類共計,11,415

2025/03/25,可爾必思,1,20
2025/03/25,黑麥汁,1,40
2025/03/25,綠茶,1,20
2025/03/25,飲料類共計,3,80

2025/03/25,總計,67,9295
