日期,品項,數量,金額
2025/04/09,紅燒牛肉麵 (單點),13,2095
2025/04/09,紅燒牛筋牛肉麵 (單點),1,220
2025/04/09,川辣牛肉麵 (單點),3,480
2025/04/09,川辣牛筋牛肉麵 (單點),1,220
2025/04/09,番茄牛肉麵 (單點),4,660
2025/04/09,番茄牛筋牛肉麵 (單點),2,440
2025/04/09,牛肉麵類共計,24,4115

2025/04/09,沙茶牛肉乾拌麵 (單點),3,450
2025/04/09,蒜泥白肉乾麵 (單點),3,390
2025/04/09,麻醬乾麵 (單點),1,70
2025/04/09,拌麵類共計,7,910

2025/04/09,豬耳朵,1,45
2025/04/09,手作類共計,1,45
2025/04/09,皮蛋豆腐,3,135
2025/04/09,小碟類共計,3,135

2025/04/09,學生加麵,5,0
2025/04/09,加滷蛋,1,15
2025/04/09,加麵,1,20
2025/04/09,加點類共計,7,35

2025/04/09,總計,35,5205
