日期,品項,數量,金額
2025/03/14,紅燒牛肉麵(單點),24,3840
2025/03/14,紅燒牛筋牛肉麵(單點),5,1100
2025/03/14,紅燒牛肚牛肉麵(單點),2,440
2025/03/14,紅燒三寶麵(單點),1,280
2025/03/14,川辣牛肉麵(單點),8,1280
2025/03/14,川辣牛筋牛肉麵(單點),2,440
2025/03/14,川辣三寶(單點),1,280
2025/03/14,蕃茄牛肉麵(單點),3,480
2025/03/14,牛肉麵類共計,46,8140

2025/03/14,沙茶牛肉乾拌麵(單點),4,600
2025/03/14,蒜泥白肉乾麵(單點),1,130
2025/03/14,麻醬乾麵(單點),3,210
2025/03/14,拌麵類共計,8,940

2025/03/14,秘制滷牛肚,3,300
2025/03/14,豬耳朵,3,135
2025/03/14,手作類共計,6,435

2025/03/14,涼拌小黃瓜,3,105
2025/03/14,涼拌乾絲,1,35
2025/03/14,桂花豆乾,2,70
2025/03/14,皮蛋豆腐,1,45
2025/03/14,海帶絲,2,70
2025/03/14,燙青菜,1,45
2025/03/14,小碟類共計,10,370

2025/03/14,牛肉湯(無肉),1,80
2025/03/14,湯品類共計,1,80

2025/03/14,可口可樂,2,40
2025/03/14,飲料類共計,2,40

2025/03/14,學生加麵,11,0
2025/03/14,加麵,1,20
2025/03/14,加點類共計,12,20

2025/03/14,總計,73,10005
