日期,品項,數量,金額
2025/04/19,紅燒牛肉麵 (單點),16,2580
2025/04/19,紅燒牛筋牛肉麵 (單點),5,1100
2025/04/19,紅燒牛肚牛肉麵 (單點),2,440
2025/04/19,紅燒三寶 (單點),1,280
2025/04/19,川辣牛肉麵 (單點),1,170
2025/04/19,番茄牛肉麵 (單點),6,1020
2025/04/19,番茄牛筋牛肉麵 (單點),3,690
2025/04/19,牛肉麵類共計,34,6280

2025/04/19,沙茶牛肉乾拌麵 (單點),11,1650
2025/04/19,蒜泥白肉乾麵 (單點),5,670
2025/04/19,拌麵類共計,16,2320


2025/04/19,蒜泥白肉,1,130
2025/04/19,秘製滷牛肚,1,100
2025/04/19,豬耳朵,1,45
2025/04/19,手作類共計,3,275

2025/04/19,涼拌小黃瓜,5,175
2025/04/19,涼拌乾絲,5,175
2025/04/19,桂花豆乾,2,70
2025/04/19,皮蛋豆腐,1,45
2025/04/19,海帶絲,2,70
2025/04/19,燙青菜,5,225
2025/04/19,小碟類共計,20,760

2025/04/19,牛肉湯 (含肉),2,260
2025/04/19,湯品類共計,2,260

2025/04/19,可爾必思,2,40
2025/04/19,飲料類共計,2,40

2025/04/19,五星燙青菜,4,0
2025/04/19,贈品類共計,4,0

2025/04/19,學生加麵,3,0
2025/04/19,加麵,2,40
2025/04/19,加點類共計,5,40

2025/04/19,總計,81,9935
