日期,品項,數量,金額
2025/05/27,紅燒牛肉麵 (單點),12,1965
2025/05/27,紅燒牛筋牛肉麵 (單點),4,1080
2025/05/27,紅燒牛肚牛肉麵 (單點),1,220
2025/05/27,川辣牛肉麵 (單點),1,170
2025/05/27,川辣牛筋牛肉麵 (單點),2,480
2025/05/27,番茄牛肉麵 (單點),9,1630
2025/05/27,牛肉麵類共計,29,5545
2025/05/27,沙茶牛肉乾拌麵 (單點),2,300
2025/05/27,拌麵類共計,2,300
2025/05/27,涼拌小黃瓜,1,35
2025/05/27,桂花豆乾,1,35
2025/05/27,泡菜,1,40
2025/05/27,燙青菜,1,45
2025/05/27,小碟類共計,4,155
2025/05/27,可爾必思,2,40
2025/05/27,仙草茶,1,40
2025/05/27,飲料類共計,3,80
2025/05/27,五星燙青菜,3,0
2025/05/27,贈品類共計,3,0
2025/05/27,學生加麵,8,0
2025/05/27,C套餐,3,300
2025/05/27,A套餐,1,20
2025/05/27,B套餐,1,45
2025/05/27,加點類共計,13,365
2025/05/27,總計,54,6080 
