日期,品項,數量,金額
2025/04/01,紅燒牛肉麵(單點),45,7220
2025/04/01,紅燒牛筋牛肉麵(單點),5,1100
2025/04/01,紅燒牛肚牛肉麵(單點),7,1540
2025/04/01,紅燒三寶麵(單點),1,280
2025/04/01,川辣牛肉麵(單點),11,1775
2025/04/01,川辣牛肚牛肉麵(單點),2,440
2025/04/01,蕃茄牛肉麵(單點),15,2420
2025/04/01,蕃茄牛筋牛肉麵(單點),1,220
2025/04/01,蕃茄牛肚牛肉麵(單點),1,220
2025/04/01,牛肉麵類共計,88,15215

2025/04/01,沙茶牛肉乾拌麵(單點),4,600
2025/04/01,蒜泥白肉乾拌麵(單點),3,390
2025/04/01,麻醬乾麵(單點),2,140
2025/04/01,拌麵類共計,9,1130

2025/04/01,蒜泥白肉,1,130
2025/04/01,豬耳朵,4,180
2025/04/01,牛肉牛肚拼盤,2,320
2025/04/01,手作類共計,7,630

2025/04/01,涼拌小黃瓜,11,385
2025/04/01,涼拌乾絲,3,105
2025/04/01,桂花豆乾,5,190
2025/04/01,皮蛋豆腐,4,180
2025/04/01,海帶絲,5,175
2025/04/01,燙青菜,6,270
2025/04/01,小碟類共計,34,1305

2025/04/01,牛肉湯(含肉),1,130
2025/04/01,牛肉湯(無肉),1,80
2025/04/01,湯品類共計,2,210

2025/04/01,綠茶,1,20
2025/04/01,飲料類共計,1,20

2025/04/01,加滷蛋,2,30
2025/04/01,學生加麵,14,0
2025/04/01,加麵,3,60
2025/04/01,加點類共計,19,90

2025/04/01,總計,141,18510
