日期,品項,數量,金額
2025/05/13,紅燒牛肉麵 (單點),20,3200
2025/05/13,紅燒牛筋牛肉麵 (單點),4,880
2025/05/13,紅燒三寶麵 (單點),1,280
2025/05/13,川辣牛肉麵 (單點),4,680
2025/05/13,川辣牛肚牛肉麵 (單點),2,460
2025/05/13,番茄牛肉麵 (單點),9,1530
2025/05/13,牛肉麵類共計,40,7030
2025/05/13,沙茶牛肉乾拌麵 (單點),3,450
2025/05/13,蒜泥白肉乾麵 (單點),1,130
2025/05/13,拌麵類共計,4,580
2025/05/13,涼拌小黃瓜,1,35
2025/05/13,桂花豆乾,2,70
2025/05/13,皮蛋豆腐,2,90
2025/05/13,燙青菜,2,90
2025/05/13,小碟類共計,7,285
2025/05/13,可爾必思,2,40
2025/05/13,飲料,2,40
2025/05/13,飲料類共計,4,80
2025/05/13,0元滷蛋(一顆),1,0
2025/05/13,五星燙青菜,4,0
2025/05/13,贈品,5,0
2025/05/13,贈品類共計,10,0
2025/05/13,學生加麵,8,0
2025/05/13,加點類共計,8,0
2025/05/13,總計,66,7935 
