日期,品項,數量,金額
2025/05/28,紅燒牛肉麵 (單點),28,4670
2025/05/28,紅燒牛筋牛肉麵 (單點),6,1480
2025/05/28,紅燒牛肚牛肉麵 (單點),1,220
2025/05/28,川辣牛肉麵 (單點),1,185
2025/05/28,川辣牛筋牛肉麵 (單點),1,230
2025/05/28,番茄牛肉麵 (單點),2,340
2025/05/28,牛肉麵類共計,39,7125
2025/05/28,沙茶牛肉乾拌麵 (單點),1,170
2025/05/28,蒜泥白肉乾拌麵 (單點),5,670
2025/05/28,拌麵類共計,6,840
2025/05/28,豬耳朵,1,45
2025/05/28,手作類共計,1,45
2025/05/28,燙青菜,1,45
2025/05/28,小碟類共計,1,45
2025/05/28,牛肉湯 (含肉),1,130
2025/05/28,牛肉湯 (無肉),1,105
2025/05/28,湯品類共計,2,235
2025/05/28,0元滷蛋(一顆),1,0
2025/05/28,五星燙青菜,1,0
2025/05/28,贈品類共計,2,0
2025/05/28,學生加麵,4,0
2025/05/28,B套餐,4,180
2025/05/28,A套餐,7,140
2025/05/28,加滷蛋,2,30
2025/05/28,C套餐,1,100
2025/05/28,加點類共計,18,450
2025/05/28,總計,69,8290 
