日期,品項,數量,金額
2025/05/06,紅燒牛肉麵 (單點),38,6115
2025/05/06,紅燒牛筋牛肉麵 (單點),9,2070
2025/05/06,紅燒牛肚牛肉麵 (單點),1,220
2025/05/06,川辣牛肉麵 (單點),4,680
2025/05/06,番茄牛肉麵 (單點),9,1545
2025/05/06,牛肉麵類共計,61,10630
2025/05/06,沙茶牛肉乾拌麵 (單點),4,600
2025/05/06,麻醬乾麵 (單點),1,70
2025/05/06,沙茶豬肉乾麵 (單點),2,260
2025/05/06,拌麵類共計,7,930
2025/05/06,秘製滷牛肚,1,100
2025/05/06,豬耳朵,1,45
2025/05/06,手作類共計,2,145
2025/05/06,涼拌小黃瓜,4,140
2025/05/06,涼拌乾絲,2,70
2025/05/06,桂花豆乾,2,70
2025/05/06,皮蛋豆腐,1,45
2025/05/06,泡菜,1,40
2025/05/06,燙青菜,2,90
2025/05/06,小碟類共計,12,455
2025/05/06,牛肉湯 (含肉),1,130
2025/05/06,牛肉湯 (無肉),1,60
2025/05/06,湯品類共計,2,190
2025/05/06,可爾必思,2,40
2025/05/06,可口可樂,3,60
2025/05/06,飲料類共計,5,100
2025/05/06,五星燙青菜,4,0
2025/05/06,贈品類共計,4,0
2025/05/06,學生加麵,13,0
2025/05/06,加滷蛋,2,30
2025/05/06,加麵,2,40
2025/05/06,加肉,1,70
2025/05/06,加點類共計,18,140
2025/05/06,總計,93,12450
