日期,品項,數量,金額
2025/04/26,紅燒牛肉麵 (單點),12,1920
2025/04/26,紅燒牛筋牛肉麵 (單點),2,440
2025/04/26,川辣牛肉麵 (單點),3,510
2025/04/26,川辣牛筋牛肉麵 (單點),3,690
2025/04/26,川辣三寶麵 (單點),2,580
2025/04/26,番茄牛肉麵 (單點),5,850
2025/04/26,番茄牛筋牛肉麵 (單點),3,705
2025/04/26,牛肉麵類共計,30,5695
2025/04/26,蒜泥白肉乾麵 (單點),2,260
2025/04/26,拌麵類共計,2,260
2025/04/26,豬耳朵,3,155
2025/04/26,牛肉牛肚拼盤,1,160
2025/04/26,手作類共計,4,315
2025/04/26,涼拌小黃瓜,4,140
2025/04/26,涼拌乾絲,1,35
2025/04/26,桂花豆乾,1,35
2025/04/26,燙青菜,3,135
2025/04/26,小碟類共計,9,345
2025/04/26,牛肉湯 (含肉),1,130
2025/04/26,湯品類共計,1,130
2025/04/26,可口可樂,2,40
2025/04/26,黑麥汁,1,40
2025/04/26,飲料類共計,3,80
2025/04/26,0元滷蛋 (一顆),2,0
2025/04/26,贈品類共計,2,0
2025/04/26,學生加麵,1,0
2025/04/26,加麵,1,20
2025/04/26,加滷蛋,1,15
2025/04/26,加點類共計,3,35
2025/04/26,總計,51,6825
