日期,品項,數量,金額
2025/03/27,紅燒牛肉麵(單點),30,4820
2025/03/27,紅燒牛筋牛肉麵(單點),9,1980
2025/03/27,紅燒牛肚牛肉麵(單點),5,1100
2025/03/27,紅燒三寶(單點),1,280
2025/03/27,川辣牛肉麵(單點),9,1440
2025/03/27,川辣牛筋牛肉麵(單點),2,440
2025/03/27,川辣三寶(單點),1,280
2025/03/27,蕃茄牛筋牛肉麵(單點),1,220
2025/03/27,牛肉麵類共計,58,10560

2025/03/27,沙茶牛肉乾拌麵(單點),10,1500
2025/03/27,蒜泥白肉乾麵(單點),3,390
2025/03/27,麻醬乾麵(單點),5,350
2025/03/27,肉燥乾麵(單點),4,280
2025/03/27,拌麵類共計,22,2520

2025/03/27,豬耳朵,1,45
2025/03/27,手作類共計,1,45

2025/03/27,涼拌小黃瓜,5,175
2025/03/27,涼拌乾絲,2,70
2025/03/27,桂花豆乾,4,140
2025/03/27,皮蛋豆腐,4,180
2025/03/27,海帶絲,1,35
2025/03/27,燙青菜,5,225
2025/03/27,小碟類共計,21,825

2025/03/27,牛肉湯(含肉),1,130
2025/03/27,湯品類共計,1,130

2025/03/27,可爾必思,2,40
2025/03/27,綠茶,1,20
2025/03/27,飲料類共計,3,60

2025/03/27,學生加麵,20,0
2025/03/27,加麵,1,20
2025/03/27,加點類共計,21,20

2025/03/27,總計,106,14140
