日期,品項,數量,金額
2025/03/04,紅燒牛肉麵(單點),38,6080
2025/03/04,紅燒牛筋牛肉麵(單點),3,660
2025/03/04,紅燒牛肚牛肉麵(單點),2,440
2025/03/04,紅燒三寶(單點),3,840
2025/03/04,川辣牛肉麵(單點),8,1280
2025/03/04,川辣牛筋牛肉麵(單點),1,220
2025/03/04,川辣牛肚牛肉麵(單點),1,220
2025/03/04,蕃茄牛肉麵(單點),20,3200
2025/03/04,蕃茄牛筋牛肉麵(單點),4,380
2025/03/04,蕃茄牛肚牛肉麵(單點),1,280
2025/03/04,牛肉麵類共計,81,14140

2025/03/04,沙茶牛肉乾拌麵(單點),1,150
2025/03/04,蒜泥白肉乾麵(單點),9,1170
2025/03/04,麻醬乾麵(單點),2,140
2025/03/04,肉燥乾麵(單點),5,350
2025/03/04,拌麵類共計,17,1810

2025/03/04,豬耳朵,5,225
2025/03/04,手作類共計,5,225

2025/03/04,涼拌小黃瓜,6,210
2025/03/04,涼拌乾絲,4,140
2025/03/04,桂花豆乾,1,35
2025/03/04,皮蛋豆腐,2,90
2025/03/04,海帶絲,2,70
2025/03/04,燙青菜,10,450
2025/03/04,小碟類共計,25,995

2025/03/04,牛肉湯(含肉),1,130
2025/03/04,牛肉湯(無肉),2,140
2025/03/04,湯品類共計,3,270

2025/03/04,可爾必思,3,60
2025/03/04,可口可樂,1,20
2025/03/04,黑麥汁,1,40
2025/03/04,飲料類共計,5,120

2025/03/04,學生加麵,30,0
2025/03/04,加麵,1,20
2025/03/04,加點類共計,31,20

2025/03/04,總計,136,17520
