日期,品項,數量,金額
2025/04/30,紅燒牛肉麵 (單點),18,2900
2025/04/30,紅燒牛筋牛肉麵 (單點),3,660
2025/04/30,紅燒牛肚牛肉麵 (單點),2,440
2025/04/30,紅燒三寶麵 (單點),1,280
2025/04/30,川辣牛肉麵 (單點),2,340
2025/04/30,番茄牛肉麵 (單點),7,1190
2025/04/30,番茄牛筋牛肉麵 (單點),1,230
2025/04/30,番茄三寶麵 (單點),1,290
2025/04/30,牛肉麵類共計,35,6330
2025/04/30,沙茶牛肉乾拌麵 (單點),3,450
2025/04/30,麻醬乾麵 (單點),5,385
2025/04/30,沙茶豬肉乾麵 (單點),2,260
2025/04/30,拌麵類共計,10,1095
2025/04/30,秘製滷牛肚,1,100
2025/04/30,豬耳朵,2,90
2025/04/30,手作類共計,3,190
2025/04/30,涼拌小黃瓜,1,35
2025/04/30,涼拌乾絲,3,105
2025/04/30,皮蛋豆腐,1,45
2025/04/30,燙青菜,4,180
2025/04/30,小碟類共計,9,365
2025/04/30,牛肉湯 (含肉),2,260
2025/04/30,湯品類共計,2,260
2025/04/30,可口可樂,2,40
2025/04/30,飲料類共計,2,40
2025/04/30,五星燙青菜,7,0
2025/04/30,贈品類共計,7,0
2025/04/30,學生加麵,4,0
2025/04/30,加麵,2,40
2025/04/30,加滷蛋,1,15
2025/04/30,加點類共計,7,55
2025/04/30,總計,68,8280
