日期,品項,數量,金額
2025/04/18,紅燒牛肉麵 (單點),29,4660
2025/04/18,紅燒牛筋牛肉麵 (單點),3,660
2025/04/18,紅燒牛肚牛肉麵 (單點),2,440
2025/04/18,紅燒三寶 (單點),2,560
2025/04/18,川辣牛肉麵 (單點),3,510
2025/04/18,川辣牛筋牛肉麵 (單點),2,460
2025/04/18,番茄牛肉麵 (單點),10,1700
2025/04/18,番茄牛筋牛肉麵 (單點),2,460
2025/04/18,番茄三寶 (單點),2,580
2025/04/18,牛肉麵類共計,55,10030
2025/04/18,沙茶牛肉乾拌麵 (單點),3,450
2025/04/18,蒜泥白肉乾麵 (單點),1,130
2025/04/18,拌麵類共計,4,580
2025/04/18,豬耳朵,4,180
2025/04/18,牛肉牛肚拼盤,2,320
2025/04/18,手作類共計,6,500
2025/04/18,涼拌小黃瓜,3,105
2025/04/18,涼拌乾絲,1,35
2025/04/18,桂花豆乾,3,105
2025/04/18,海帶絲,1,35
2025/04/18,小碟類共計,8,280
2025/04/18,可爾必思,1,20
2025/04/18,可口可樂,4,80
2025/04/18,飲料類共計,5,100
2025/04/18,0元滷蛋 (一顆),2,0
2025/04/18,五星燙青菜,8,0
2025/04/18,贈品類共計,10,0
2025/04/18,加麵,1,20
2025/04/18,學生加麵,11,0
2025/04/18,加點類共計,12,20
2025/04/18,總計,88,11490
