日期,品項,數量,金額
2025/05/26,紅燒牛肉麵 (單點),40,6445
2025/05/26,紅燒牛筋牛肉麵 (單點),1,220
2025/05/26,川辣牛肉麵 (單點),2,340
2025/05/26,川辣牛筋牛肉麵 (單點),1,230
2025/05/26,番茄牛肉麵 (單點),11,1890
2025/05/26,牛肉麵類共計,55,9125
2025/05/26,沙茶牛肉乾拌麵 (單點),6,920
2025/05/26,蒜泥白肉乾拌麵 (單點),3,480
2025/05/26,麻醬乾麵 (單點),2,140
2025/05/26,沙茶豬肉乾拌麵 (單點),4,520
2025/05/26,拌麵類共計,15,2060
2025/05/26,豬耳朵,3,135
2025/05/26,手作類共計,3,135
2025/05/26,涼拌小黃瓜,1,35
2025/05/26,涼拌乾絲,2,70
2025/05/26,桂花豆乾,2,70
2025/05/26,皮蛋豆腐,2,90
2025/05/26,燙青菜,2,90
2025/05/26,小碟類共計,9,355
2025/05/26,牛肉湯 (含肉),2,260
2025/05/26,牛肉湯 (無肉),2,140
2025/05/26,湯品類共計,4,400
2025/05/26,五星燙青菜,3,0
2025/05/26,贈品類共計,3,0
2025/05/26,學生加麵,15,0
2025/05/26,B套餐,3,135
2025/05/26,加麵,2,40
2025/05/26,A套餐,1,20
2025/05/26,加點類共計,21,195
2025/05/26,總計,110,12075 
