日期,品項,數量,金額
2025/04/10,紅燒牛肉麵 (單點),32,5120
2025/04/10,紅燒牛筋牛肉麵 (單點),3,660
2025/04/10,紅燒牛肚牛肉麵 (單點),1,220
2025/04/10,川辣牛肉麵 (單點),4,640
2025/04/10,番茄牛肉麵 (單點),13,2080
2025/04/10,番茄牛筋牛肉麵 (單點),1,220
2025/04/10,牛肉麵類共計,54,8940
2025/04/10,沙茶牛肉乾拌麵 (單點),7,1050
2025/04/10,蒜泥白肉乾麵 (單點),8,1060
2025/04/10,麻醬乾麵 (單點),2,140
2025/04/10,肉燥乾麵 (單點),2,140
2025/04/10,拌麵類共計,19,2390
2025/04/10,蒜泥白肉,4,520
2025/04/10,秘製滷牛肚,1,100
2025/04/10,豬耳朵,2,90
2025/04/10,手作類共計,7,710
2025/04/10,涼拌小黃瓜,4,140
2025/04/10,桂花豆乾,1,35
2025/04/10,皮蛋豆腐,1,45
2025/04/10,燙青菜,2,90
2025/04/10,小碟類共計,8,310
2025/04/10,可爾必思,1,20
2025/04/10,可口可樂,1,20
2025/04/10,飲料類共計,2,40
2025/04/10,學生加麵,9,0
2025/04/10,加麵,1,20
2025/04/10,加點類共計,10,20
2025/04/10,總計,90,12390
