日期,品項,數量,金額
2025/03/17,紅燒牛肉麵(單點),37,5920
2025/03/17,紅燒牛筋牛肉麵(單點),5,1120
2025/03/17,紅燒牛肚牛肉麵(單點),1,220
2025/03/17,紅燒三寶麵(單點),1,280
2025/03/17,川辣牛肉麵(單點),13,2080
2025/03/17,川辣牛筋牛肉麵(單點),2,440
2025/03/17,川辣三寶麵(單點),1,300
2025/03/17,蕃茄牛肉麵(單點),12,1920
2025/03/17,蕃茄牛筋牛肉麵(單點),5,1100
2025/03/17,牛肉麵類共計,77,13380

2025/03/17,沙茶牛肉乾拌麵(單點),1,150
2025/03/17,蒜泥白肉乾麵(單點),2,260
2025/03/17,麻醬乾麵(單點),2,140
2025/03/17,肉燥乾麵(單點),2,140
2025/03/17,拌麵類共計,7,690

2025/03/17,豬耳朵,2,90
2025/03/17,手作類共計,2,90

2025/03/17,涼拌小黃瓜,2,70
2025/03/17,桂花豆乾,2,70
2025/03/17,皮蛋豆腐,2,90
2025/03/17,海帶絲,1,35
2025/03/17,燙青菜,7,330
2025/03/17,小碟類共計,14,595

2025/03/17,牛肉湯(無肉),2,140
2025/03/17,湯品類共計,2,140

2025/03/17,學生加麵,13,0
2025/03/17,加滷蛋,1,15
2025/03/17,加麵,3,60
2025/03/17,加點類共計,17,75

2025/03/17,總計,102,14850
