日期,品項,數量,金額
2025/03/21,紅燒牛肉麵(單點),30,4840
2025/03/21,紅燒牛筋牛肉麵(單點),6,1320
2025/03/21,紅燒牛肚牛肉麵(單點),1,220
2025/03/21,紅燒三寶(單點),2,560
2025/03/21,川辣牛肉麵(單點),2,320
2025/03/21,川辣牛筋牛肉麵(單點),2,440
2025/03/21,蕃茄牛肉麵(單點),11,1760
2025/03/21,蕃茄牛肚牛肉麵(單點),2,440
2025/03/21,蕃茄三寶(單點),2,560
2025/03/21,牛肉麵類共計,56,9900

2025/03/21,沙茶牛肉乾拌麵(單點),5,750
2025/03/21,蒜泥白肉乾麵(單點),4,520
2025/03/21,麻醬乾麵(單點),1,70
2025/03/21,肉燥乾麵(單點),5,350
2025/03/21,拌麵類共計,15,1690

2025/03/21,秘製滷牛肚,1,100
2025/03/21,豬耳朵,2,90
2025/03/21,手作類共計,3,190

2025/03/21,涼拌小黃瓜,3,105
2025/03/21,涼拌乾絲,2,70
2025/03/21,桂花豆乾,3,105
2025/03/21,皮蛋豆腐,3,135
2025/03/21,海帶絲,1,35
2025/03/21,燙青菜,3,135
2025/03/21,小碟類共計,15,585

2025/03/21,牛肉湯(含肉),2,260
2025/03/21,牛肉湯(無肉),1,60
2025/03/21,湯品類共計,3,320

2025/03/21,黑麥汁,2,80
2025/03/21,飲料類共計,2,80

2025/03/21,學生加麵,11,0
2025/03/21,加麵,2,40
2025/03/21,加點類共計,17,75

2025/03/21,總計,94,12765
