日期,品項,數量,金額
2025/04/03,紅燒牛肉(單點),7,1120
2025/04/03,紅燒牛筋牛肉(單點),1,220
2025/04/03,紅燒牛肚牛肉(單點),1,220
2025/04/03,紅燒三寶(單點),1,280
2025/04/03,川辣牛肉(單點),4,655
2025/04/03,蕃茄牛肉(單點),5,800
2025/04/03,蕃茄牛筋牛肉(單點),1,220
2025/04/03,蕃茄三寶(單點),1,280
2025/04/03,牛肉麵類共計,21,3795

2025/04/03,蒜泥白肉乾麵(單點),3,390
2025/04/03,肉燥乾麵(單點),1,90
2025/04/03,拌麵類共計,4,480

2025/04/03,豬耳朵,1,45
2025/04/03,手作類共計,1,45

2025/04/03,涼拌乾絲,1,35
2025/04/03,皮蛋豆腐,1,45
2025/04/03,海帶絲,2,70
2025/04/03,燙青菜,3,135
2025/04/03,小碟類共計,7,285

2025/04/03,可爾必思,1,20
2025/04/03,飲料,1,20
2025/04/03,飲料類共計,34,4625

2025/04/03,加麵,1,20
2025/04/03,學生加麵,4,0
2025/04/03,加滷蛋,1,15
2025/04/03,加點類共計,6,35

2025/04/03,總計,34,4625
