日期,品項,數量,金額
2025/02/21,紅燒牛肉麵(套餐),1,165
2025/02/21,紅燒牛肉麵(單點),12,1920
2025/02/21,紅燒牛筋牛肉麵(套餐),1,205
2025/02/21,紅燒牛筋牛肉麵(單點),4,880
2025/02/21,紅燒牛肚牛肉麵(單點),3,660
2025/02/21,川辣牛肉麵(單點),6,960
2025/02/21,川辣三寶麵(單點),1,280
2025/02/21,蕃茄牛肉麵(套餐),1,145
2025/02/21,蕃茄牛肉麵(單點),6,960
2025/02/21,蕃茄牛筋牛肉麵(單點),3,660
2025/02/21,蕃茄三寶麵(單點),2,560
2025/02/21,牛肉麵類共計,40,7410

2025/02/21,沙茶牛肉乾拌麵(單點),1,150
2025/02/21,麻醬乾麵(單點),1,70
2025/02/21,肉燥乾麵(單點),2,140
2025/02/21,拌麵類共計,4,340

2025/02/21,蒜泥白肉,1,130
2025/02/21,豬耳朵,2,90
2025/02/21,牛肉牛肚拼盤,1,160
2025/02/21,手作類共計,4,380

2025/02/21,涼拌小黃瓜,4,140
2025/02/21,涼拌乾絲,1,35
2025/02/21,皮蛋豆腐,2,90
2025/02/21,海帶絲,1,35
2025/02/21,燙青菜,2,90
2025/02/21,小碟類共計,10,390

2025/02/21,牛肉湯(含肉),1,130
2025/02/21,牛肉湯(無肉),1,60
2025/02/21,湯品類共計,2,190

2025/02/21,學生加麵,8,0
2025/02/21,加麵,1,20
2025/02/21,加點類共計,9,20

2025/02/21,總計,60,8710
