日期,品項,數量,金額
2025/05/01,紅燒牛肉麵 (單點),41,6560
2025/05/01,紅燒牛筋牛肉麵 (單點),8,1760
2025/05/01,紅燒牛肚牛肉麵 (單點),4,880
2025/05/01,紅燒三寶麵 (單點),1,280
2025/05/01,川辣牛肉麵 (單點),7,1190
2025/05/01,川辣牛筋牛肉麵 (單點),3,690
2025/05/01,川辣三寶麵 (單點),1,230
2025/05/01,番茄牛肉麵 (單點),11,1870
2025/05/01,番茄牛筋牛肉麵 (單點),2,460
2025/05/01,牛肉麵類共計,79,14210

2025/05/01,沙茶牛肉乾拌麵 (單點),6,900
2025/05/01,蒜泥白肉乾麵 (單點),2,260
2025/05/01,麻醬乾麵 (單點),3,210
2025/05/01,沙茶豬肉乾麵 (單點),2,260
2025/05/01,拌麵類共計,13,1630

2025/05/01,涼拌小黃瓜,5,175
2025/05/01,桂花豆乾,2,70
2025/05/01,皮蛋豆腐,3,135
2025/05/01,泡菜,2,75
2025/05/01,燙青菜,4,180
2025/05/01,小碟類共計,16,635

2025/05/01,牛肉湯 (含肉),1,130
2025/05/01,牛肉湯 (無肉),3,275
2025/05/01,湯品類共計,4,405

2025/05/01,可口可樂,3,60
2025/05/01,飲料類共計,3,60

2025/05/01,0元滷蛋 (一顆),5,0
2025/05/01,五星燙青菜,8,0
2025/05/01,贈品類共計,13,0

2025/05/01,學生加麵,21,0
2025/05/01,加麵,4,80
2025/05/01,加滷蛋,1,15
2025/05/01,加點類共計,26,95

2025/05/01,總計,128,16940
