日期,品項,數量,金額
2025/03/08,紅燒牛肉麵(單點),16,2575
2025/03/08,紅燒牛筋牛肉麵(單點),5,1100
2025/03/08,紅燒三寶(單點),4,1200
2025/03/08,川辣牛肉麵(單點),4,640
2025/03/08,川辣牛筋牛肉麵(單點),2,440
2025/03/08,川辣牛肚牛肉麵(單點),1,220
2025/03/08,蕃茄牛肉麵(單點),9,1440
2025/03/08,蕃茄牛筋牛肉麵(單點),5,1100
2025/03/08,牛肉麵類共計,47,8995

2025/03/08,沙茶牛肉乾拌麵(單點),2,300
2025/03/08,蒜泥白肉乾麵(單點),4,520
2025/03/08,麻醬乾麵(單點),3,210
2025/03/08,拌麵類共計,9,1030

2025/03/08,豬耳朵,3,135
2025/03/08,手作類共計,3,135

2025/03/08,涼拌小黃瓜,4,140
2025/03/08,涼拌乾絲,1,35
2025/03/08,桂花豆乾,2,70
2025/03/08,海帶絲,1,35
2025/03/08,燙青菜,3,135
2025/03/08,小碟類共計,11,415

2025/03/08,牛肉湯(含肉),1,130
2025/03/08,湯品類共計,1,130

2025/03/08,可爾必思,1,20
2025/03/08,黑麥汁,2,80
2025/03/08,飲料類共計,3,100

2025/03/08,學生加麵,11,0
2025/03/08,加滷蛋,1,15
2025/03/08,加麵,4,80
2025/03/08,加點類共計,16,95

2025/03/08,總計,74,10850
