日期,品項,數量,金額
2025/04/02,紅燒牛肉麵(單點),12,1955
2025/04/02,紅燒牛筋牛肉麵(單點),2,460
2025/04/02,川辣牛肉麵(單點),4,640
2025/04/02,川辣牛筋牛肉麵(單點),1,220
2025/04/02,牛肉麵類共計,19,3275

2025/04/02,沙茶牛肉乾拌麵(單點),2,300
2025/04/02,麻醬乾麵(單點),3,230
2025/04/02,拌麵類共計,5,530

2025/04/02,蒜泥白肉,1,130
2025/04/02,豬耳朵,2,90
2025/04/02,手作類共計,3,220

2025/04/02,涼拌乾絲,1,35
2025/04/02,燙青菜,1,45
2025/04/02,小碟類共計,2,80

2025/04/02,牛肉湯(含肉),1,130
2025/04/02,牛肉湯(無肉),2,155
2025/04/02,湯品類共計,3,285

2025/04/01,加麵,4,80
2025/04/01,加滷蛋,2,30
2025/04/01,學生加麵,1,0
2025/04/01,加點類共計,7,110

2025/04/02,總計,32,4390
