日期,品項,數量,金額
2025/05/19,紅燒牛肉麵 (單點),28,4500
2025/05/19,紅燒牛筋牛肉麵 (單點),1,220
2025/05/19,紅燒牛肚牛肉麵 (單點),2,440
2025/05/19,紅燒三寶麵 (單點),1,280
2025/05/19,川辣牛肉麵 (單點),2,340
2025/05/19,川辣牛肚牛肉麵 (單點),1,230
2025/05/19,番茄牛肉麵 (單點),7,1190
2025/05/19,牛肉麵類共計,42,7200

2025/05/19,沙茶牛肉乾拌麵 (單點),1,150
2025/05/19,蒜泥白肉乾麵 (單點),2,260
2025/05/19,麻醬乾麵 (單點),2,140
2025/05/19,沙茶豬肉乾拌麵 (單點),1,130
2025/05/19,拌麵類共計,6,680
2025/05/19,蒜泥白肉,1,130
2025/05/19,豬耳朵,2,90
2025/05/19,牛肉牛肚拼盤,1,160
2025/05/19,手作類共計,4,380
2025/05/19,涼拌小黃瓜,1,35
2025/05/19,涼拌乾絲,1,35
2025/05/19,桂花豆乾,3,105
2025/05/19,皮蛋豆腐,1,45
2025/05/19,泡菜,2,80
2025/05/19,小碟類共計,8,300
2025/05/19,牛肉湯 (含肉),1,130
2025/05/19,湯品類共計,1,130
2025/05/19,可爾必思,2,40
2025/05/19,可口可樂,2,40
2025/05/19,飲料類共計,4,80
2025/05/19,0元滷蛋(一顆),2,0
2025/05/19,五星燙青菜,5,0
2025/05/19,贈品類共計,7,0
2025/05/19,學生加麵,4,0
2025/05/19,加麵,1,20
2025/05/19,加點類共計,5,20
2025/05/19,總計,77,8770 
