日期,品項,數量,金額
2025/05/09,紅燒牛肉麵 (單點),32,5135
2025/05/09,紅燒牛筋牛肉麵 (單點),1,220
2025/05/09,紅燒牛肚牛肉麵 (單點),1,220
2025/05/09,紅燒三寶麵 (單點),2,560
2025/05/09,川辣牛肉麵 (單點),10,1700
2025/05/09,川辣牛肚牛肉麵 (單點),2,460
2025/05/09,番茄牛肉麵 (單點),9,1530
2025/05/09,番茄牛肚牛肉麵 (單點),3,690
2025/05/09,牛肉麵類共計,60,10515
2025/05/09,沙茶牛肉乾拌麵 (單點),8,1200
2025/05/09,蒜泥白肉乾麵 (單點),1,130
2025/05/09,麻醬乾麵 (單點),1,70
2025/05/09,沙茶豬肉乾麵 (單點),2,260
2025/05/09,拌麵類共計,12,1660
2025/05/09,豬耳朵,3,135
2025/05/09,手作類共計,3,135
2025/05/09,涼拌小黃瓜,1,35
2025/05/09,桂花豆乾,5,175
2025/05/09,皮蛋豆腐,1,45
2025/05/09,泡菜,1,40
2025/05/09,燙青菜,2,90
2025/05/09,小碟類共計,10,385
2025/05/09,牛肉湯 (無肉),1,60
2025/05/09,湯品類共計,1,60
2025/05/09,可口可樂,3,60
2025/05/09,黑麥汁,1,40
2025/05/09,飲料類共計,4,100
2025/05/09,五星燙青菜,2,0
2025/05/09,贈品類共計,2,0
2025/05/09,加滷蛋,1,15
2025/05/09,學生加麵,6,0
2025/05/09,加點類共計,7,15
2025/05/09,總計,92,12855
