日期,品項,數量,金額
2025/04/25,紅燒牛肉麵 (單點),22,3520
2025/04/25,紅燒牛筋牛肉麵 (單點),3,660
2025/04/25,川辣牛肉麵 (單點),9,1530
2025/04/25,川辣牛筋牛肉麵 (單點),1,230
2025/04/25,川辣三寶麵 (單點),1,290
2025/04/25,番茄牛肉麵 (單點),6,1020
2025/04/25,番茄牛筋牛肉麵 (單點),1,245
2025/04/25,牛肉麵類共計,43,7495
2025/04/25,沙茶牛肉乾拌麵 (單點),5,750
2025/04/25,蒜泥白肉乾麵 (單點),4,540
2025/04/25,麻醬乾麵 (單點),1,70
2025/04/25,沙茶豬肉乾麵 (單點),1,130
2025/04/25,拌麵類共計,11,1490
2025/04/25,蒜泥白肉,2,260
2025/04/25,手作類共計,2,260
2025/04/25,涼拌小黃瓜,1,35
2025/04/25,涼拌乾絲,3,105
2025/04/25,桂花豆乾,1,35
2025/04/25,皮蛋豆腐,3,135
2025/04/25,燙青菜,1,45
2025/04/25,小碟類共計,9,355
2025/04/25,可爾必思,2,40
2025/04/25,可口可樂,2,40
2025/04/25,黑麥汁,1,40
2025/04/25,飲料類共計,5,120
2025/04/25,0元滷蛋(一顆),1,0
2025/04/25,五星燙青菜,18,0
2025/04/25,贈品類共計,19,0
2025/04/25,學生加麵,15,0
2025/04/25,加滷蛋,1,15
2025/04/25,加麵,1,20
2025/04/25,加點類共計,17,35
2025/04/25,總計,89,9350
