日期,品項,數量,金額
2025/03/07,紅燒牛肉麵(單點),27,4320
2025/03/07,紅燒牛筋牛肉麵(單點),1,220
2025/03/07,川辣牛肉麵(單點),10,1600
2025/03/07,川辣牛筋牛肉麵(單點),1,220
2025/03/07,川辣牛肚牛肉麵(單點),1,220
2025/03/07,蕃茄牛肉麵(單點),17,2720
2025/03/07,蕃茄牛筋牛肉麵(單點),1,220
2025/03/07,牛肉麵類共計,58,9520

2025/03/07,沙茶牛肉乾拌麵(單點),3,450
2025/03/07,蒜泥白肉乾麵(單點),5,650
2025/03/07,麻醬乾麵(單點),2,140
2025/03/07,肉燥乾麵(單點),2,140
2025/03/07,拌麵類共計,12,1380

2025/03/07,豬耳朵,4,180
2025/03/07,手作類共計,4,180

2025/03/07,涼拌小黃瓜,1,35
2025/03/07,涼拌乾絲,1,35
2025/03/07,桂花豆乾,1,35
2025/03/07,皮蛋豆腐,2,90
2025/03/07,海帶絲,1,35
2025/03/07,燙青菜,4,180
2025/03/07,小碟類共計,10,410

2025/03/07,牛肉湯(含肉),2,260
2025/03/07,牛肉湯(無肉),1,60
2025/03/07,湯品類共計,3,320

2025/03/07,黑麥汁,1,40
2025/03/07,飲料類共計,1,40
2025/03/07,學生加麵,3,0

2025/03/07,總計,88,11620
