日期,品項,數量,金額
2025/03/28,紅燒牛肉麵(單點),41,6595
2025/03/28,紅燒牛筋牛肉麵(單點),15,3300
2025/03/28,紅燒牛肚牛肉麵(單點),4,880
2025/03/28,紅燒三寶(單點),3,840
2025/03/28,川辣牛肉麵(單點),5,880
2025/03/28,川辣牛筋牛肉麵(單點),2,440
2025/03/28,川辣牛肚牛肉麵(單點),2,440
2025/03/28,蕃茄牛肉麵(單點),3,480
2025/03/28,蕃茄牛筋牛肉麵(單點),2,440
2025/03/28,蕃茄牛肚牛肉麵(單點),2,440
2025/03/28,牛肉麵類共計,79,14655

2025/03/28,沙茶牛肉乾拌麵(單點),2,300
2025/03/28,蒜泥白肉乾麵(單點),5,650
2025/03/28,麻醬乾麵(單點),1,70
2025/03/28,肉燥乾麵(單點),2,140
2025/03/28,拌麵類共計,10,1160

2025/03/28,豬耳朵,3,135
2025/03/28,手作類共計,3,135

2025/03/28,涼拌小黃瓜,8,280
2025/03/28,涼拌乾絲,3,105
2025/03/28,桂花豆乾,5,175
2025/03/28,皮蛋豆腐,3,135
2025/03/28,海帶絲,3,105
2025/03/28,燙青菜,8,360
2025/03/28,小碟類共計,30,1160

2025/03/28,牛肉湯(無肉),1,80
2025/03/28,湯品類共計,1,80

2025/03/28,可口可樂,1,20
2025/03/28,黑麥汁,1,40
2025/03/28,飲料類共計,2,60

2025/03/28,學生加麵,22,0
2025/03/28,加滷蛋,1,15
2025/03/28,加麵,2,40
2025/03/28,加點類共計,25,55

2025/03/28,總計,125,17250
