日期,品項,數量,金額
2025/05/14,紅燒牛肉麵 (單點),20,3220
2025/05/14,紅燒牛筋牛肉麵 (單點),3,660
2025/05/14,紅燒牛肚牛肉麵 (單點),2,440
2025/05/14,川辣牛肉麵 (單點),3,510
2025/05/14,川辣牛肚牛肉麵 (單點),1,230
2025/05/14,番茄牛肉麵 (單點),13,2210
2025/05/14,牛肉麵類共計,42,7270
2025/05/14,沙茶牛肉乾拌麵 (單點),4,600
2025/05/14,蒜泥白肉乾麵 (單點),4,520
2025/05/14,麻醬乾麵 (單點),4,280
2025/05/14,沙茶豬肉乾拌麵 (單點),3,390
2025/05/14,拌麵類共計,15,1790
2025/05/14,豬耳朵,1,45
2025/05/14,手作類共計,1,45
2025/05/14,涼拌小黃瓜,1,35
2025/05/14,涼拌乾絲,1,35
2025/05/14,桂花豆乾,4,140
2025/05/14,泡菜,2,80
2025/05/14,燙青菜,1,45
2025/05/14,小碟類共計,9,335
2025/05/14,可口可樂,3,60
2025/05/14,飲料,3,60
2025/05/14,飲料類共計,6,120
2025/05/14,五星燙青菜,2,0
2025/05/14,贈品,2,0
2025/05/14,贈品類共計,4,0
2025/05/14,學生加麵,4,0
2025/05/14,加麵,1,20
2025/05/14,加點類共計,5,20
2025/05/14,總計,72,9500 
