日期,品項,數量,金額
2025/05/05,紅燒牛肉麵 (單點),20,3200
2025/05/05,紅燒牛筋牛肉麵 (單點),3,675
2025/05/05,紅燒牛肚牛肉麵 (單點),2,440
2025/05/05,紅燒三寶麵 (單點),1,280
2025/05/05,川辣牛肉麵 (單點),2,360
2025/05/05,番茄牛肉麵 (單點),6,1020
2025/05/05,番茄牛肚牛肉麵 (單點),1,230
2025/05/05,牛肉麵類共計,35,6205
2025/05/05,沙茶牛肉乾拌麵 (單點),5,750
2025/05/05,蒜泥白肉乾麵 (單點),3,390
2025/05/05,麻醬乾麵 (單點),2,140
2025/05/05,拌麵類共計,10,1280
2025/05/05,蒜泥白肉,1,130
2025/05/05,豬耳朵,4,180
2025/05/05,手作類共計,5,310
2025/05/05,涼拌小黃瓜,4,140
2025/05/05,涼拌乾絲,2,70
2025/05/05,皮蛋豆腐,1,45
2025/05/05,泡菜,3,120
2025/05/05,燙青菜,1,45
2025/05/05,小碟類共計,11,420
2025/05/05,牛肉湯 (無肉),1,60
2025/05/05,湯品類共計,1,60
2025/05/05,可爾必思,3,60
2025/05/05,飲料類共計,3,60
2025/05/05,五星燙青菜,4,0
2025/05/05,贈品類共計,4,0
2025/05/05,加麵,1,20
2025/05/05,加滷蛋,1,15
2025/05/05,學生加麵,8,0
2025/05/05,加點類共計,10,35
2025/05/05,總計,69,8115
