日期,品項,數量,金額
2025/03/12,紅燒牛肉麵(單點),24,3860
2025/03/12,紅燒牛筋牛肉麵(單點),6,1320
2025/03/12,紅燒牛肚牛肉麵(單點),3,675
2025/03/12,紅燒三寶(單點),1,280
2025/03/12,川辣牛肉麵(單點),8,1280
2025/03/12,蕃茄牛肉麵(單點),19,3040
2025/03/12,蕃茄牛筋牛肉麵(單點),2,440
2025/03/12,蕃茄三寶麵(單點),2,560
2025/03/12,牛肉麵類共計,65,11455

2025/03/12,沙茶牛肉乾拌麵(單點),7,1050
2025/03/12,蒜泥白肉乾麵(單點),6,780
2025/03/12,麻醬乾麵(單點),6,420
2025/03/12,肉燥乾麵(單點),2,140
2025/03/12,拌麵類共計,21,2390

2025/03/12,豬耳朵,2,90
2025/03/12,牛肉牛肚拼盤,1,160
2025/03/12,手作類共計,3,250

2025/03/12,涼拌小黃瓜,3,105
2025/03/12,涼拌乾絲,2,70
2025/03/12,桂花豆乾,3,105
2025/03/12,皮蛋豆腐,4,180
2025/03/12,海帶絲,4,140
2025/03/12,燙青菜,11,495
2025/03/12,小碟類共計,27,1095

2025/03/12,牛肉湯(無肉),2,120
2025/03/12,湯品類共計,2,120

2025/03/12,可爾必思,2,40
2025/03/12,可口可樂,3,60
2025/03/12,綠茶,3,60
2025/03/12,飲料類共計,8,160

2025/03/12,學生加麵,18,0
2025/03/12,加滷蛋,1,15
2025/03/12,加麵,1,20
2025/03/12,加點類共計,20,35

2025/03/12,總計,126,15470
