日期,品項,數量,金額
2025/05/29,紅燒牛肉麵 (單點),36,5760
2025/05/29,紅燒牛筋牛肉麵 (單點),2,440
2025/05/29,紅燒牛肚牛肉麵 (單點),2,440
2025/05/29,川辣牛肉麵 (單點),7,1190
2025/05/29,牛肉麵類共計,47,7830
2025/05/29,沙茶牛肉乾拌麵 (單點),7,1050
2025/05/29,蒜泥白肉乾拌麵 (單點),1,130
2025/05/29,麻醬乾麵 (單點),1,70
2025/05/29,沙茶豬肉乾拌麵 (單點),2,260
2025/05/29,拌麵類共計,11,1510
2025/05/29,蒜泥白肉,1,130
2025/05/29,手作類共計,1,130
2025/05/29,涼拌小黃瓜,2,70
2025/05/29,皮蛋豆腐,2,90
2025/05/29,燙青菜,1,45
2025/05/29,小碟類共計,5,205
2025/05/29,牛肉湯 (含肉),1,130
2025/05/29,牛肉湯 (無肉),1,80
2025/05/29,湯品類共計,2,210
2025/05/29,可口可樂,1,20
2025/05/29,飲料類共計,1,20
2025/05/29,0元滷蛋(一顆),1,0
2025/05/29,五星燙青菜,3,0
2025/05/29,贈品類共計,4,0
2025/05/29,學生加麵,20,0
2025/05/29,加麵,1,20
2025/05/29,加點類共計,21,20
2025/05/29,總計,92,9905 
