日期,品項,數量,金額
2025/04/08,紅燒牛肉麵 (單點),24,3860
2025/04/08,紅燒牛筋牛肉麵 (單點),6,1335
2025/04/08,川辣牛肉麵 (單點),15,2415
2025/04/08,番茄牛肉麵 (單點),17,2750
2025/04/08,番茄牛筋牛肉麵 (單點),4,880
2025/04/08,牛肉麵類共計,66,11240

2025/04/08,沙茶牛肉乾拌麵 (單點),8,1200
2025/04/08,蒜泥白肉乾麵 (單點),2,260
2025/04/08,肉燥乾麵 (單點),7,510
2025/04/08,拌麵類共計,17,1970

2025/04/08,秘製滷牛肚,1,100
2025/04/08,豬耳朵,3,135
2025/04/08,手作類共計,4,235

2025/04/08,涼拌小黃瓜,5,175
2025/04/08,涼拌乾絲,2,70
2025/04/08,燙青菜,6,270
2025/04/08,小碟類共計,13,515

2025/04/08,牛肉湯 (無肉),1,110
2025/04/08,湯品類共計,1,110

2025/04/08,可爾必思,1,20
2025/04/08,可口可樂,4,80
2025/04/08,黑麥汁,1,40
2025/04/08,綠茶,1,20
2025/04/08,飲料類共計,7,160

2025/04/08,學生加麵,13,0
2025/04/08,加麵,3,60
2025/04/08,加滷蛋,6,90
2025/04/08,加點類共計,22,150

2025/04/08,總計,108,14230
